product_id,avg_score,interaction_count,normalized_count,popularity_score
3601005,4.333333333333333,3,0.002380952380952381,3.0369047619047613
3601020,5.0,2,0.0011904761904761906,3.5017857142857145
3601028,5.0,1,0.0,3.5
3601063,4.2,5,0.004761904761904762,2.947142857142857
3601065,3.6666666666666665,3,0.002380952380952381,2.570238095238095
3601071,5.0,1,0.0,3.5
3601074,4.454545454545454,11,0.011904761904761908,3.1360389610389605
3601089,5.0,1,0.0,3.5
3601094,5.0,1,0.0,3.5
3601103,5.0,1,0.0,3.5
3601124,3.0,1,0.0,2.0999999999999996
3601125,5.0,2,0.0011904761904761906,3.5017857142857145
3601127,3.5,4,0.0035714285714285718,2.455357142857143
3601138,4.0,4,0.0035714285714285718,2.805357142857143
3601139,4.0,2,0.0011904761904761906,2.8017857142857143
3601140,3.0,1,0.0,2.0999999999999996
3601174,3.0,1,0.0,2.0999999999999996
3601195,5.0,1,0.0,3.5
3601212,4.0,2,0.0011904761904761906,2.8017857142857143
3601240,5.0,2,0.0011904761904761906,3.5017857142857145
3601244,5.0,2,0.0011904761904761906,3.5017857142857145
3601248,3.0,2,0.0011904761904761906,2.101785714285714
3601250,4.8,10,0.010714285714285714,3.3760714285714286
3601261,4.6,5,0.004761904761904762,3.227142857142857
3601262,5.0,1,0.0,3.5
3601267,5.0,2,0.0011904761904761906,3.5017857142857145
3601283,5.0,1,0.0,3.5
3601284,3.6666666666666665,3,0.002380952380952381,2.570238095238095
3601290,3.5714285714285716,7,0.007142857142857144,2.5107142857142857
3601297,3.4,5,0.004761904761904762,2.387142857142857
3601306,3.0,3,0.002380952380952381,2.103571428571428
3601309,4.25,8,0.008333333333333335,2.9875
3601311,5.0,1,0.0,3.5
3601331,5.0,1,0.0,3.5
3601335,3.0,1,0.0,2.0999999999999996
3601339,5.0,1,0.0,3.5
3601343,4.25,8,0.008333333333333335,2.9875
3601347,4.0,6,0.005952380952380953,2.8089285714285714
3601348,4.2,5,0.004761904761904762,2.947142857142857
3601349,3.0,3,0.002380952380952381,2.103571428571428
3601355,3.0,1,0.0,2.0999999999999996
3601359,4.0,4,0.0035714285714285718,2.805357142857143
3601366,3.0,1,0.0,2.0999999999999996
3601367,5.0,2,0.0011904761904761906,3.5017857142857145
3601376,4.6,5,0.004761904761904762,3.227142857142857
3601392,5.0,2,0.0011904761904761906,3.5017857142857145
3601402,5.0,1,0.0,3.5
3601403,5.0,1,0.0,3.5
3601405,4.214285714285714,28,0.03214285714285715,2.9982142857142855
3601406,4.5,4,0.0035714285714285718,3.155357142857143
3601416,4.0,2,0.0011904761904761906,2.8017857142857143
3601422,3.0,2,0.0011904761904761906,2.101785714285714
3601423,4.666666666666667,6,0.005952380952380953,3.2755952380952382
3601424,5.0,1,0.0,3.5
3601425,3.0,4,0.0035714285714285718,2.1053571428571427
3601437,4.5,4,0.0035714285714285718,3.155357142857143
3601438,4.111111111111111,9,0.009523809523809525,2.8920634920634916
3601443,4.0,4,0.0035714285714285718,2.805357142857143
3601446,5.0,1,0.0,3.5
3601448,4.161290322580645,31,0.03571428571428571,2.9664746543778797
3601449,3.6666666666666665,6,0.005952380952380953,2.575595238095238
3601455,5.0,2,0.0011904761904761906,3.5017857142857145
3601461,3.0,1,0.0,2.0999999999999996
3601472,4.333333333333333,3,0.002380952380952381,3.0369047619047613
3601473,5.0,1,0.0,3.5
3601475,5.0,2,0.0011904761904761906,3.5017857142857145
3601479,4.333333333333333,6,0.005952380952380953,3.0422619047619044
3601486,3.0,1,0.0,2.0999999999999996
3601489,4.142857142857143,7,0.007142857142857144,2.9107142857142856
3601493,3.0,2,0.0011904761904761906,2.101785714285714
3601494,4.0,4,0.0035714285714285718,2.805357142857143
3601505,4.0,16,0.01785714285714286,2.8267857142857142
3601508,3.0,2,0.0011904761904761906,2.101785714285714
3601509,4.0,4,0.0035714285714285718,2.805357142857143
3601516,5.0,1,0.0,3.5
3601522,4.0,10,0.010714285714285714,2.8160714285714286
3601523,3.0,1,0.0,2.0999999999999996
3601524,4.0,4,0.0035714285714285718,2.805357142857143
3601526,3.0,1,0.0,2.0999999999999996
3601527,3.4,5,0.004761904761904762,2.387142857142857
3601529,4.0,2,0.0011904761904761906,2.8017857142857143
3601530,5.0,1,0.0,3.5
3601531,5.0,1,0.0,3.5
3601535,4.2,5,0.004761904761904762,2.947142857142857
3601536,3.0,2,0.0011904761904761906,2.101785714285714
3601537,4.6,5,0.004761904761904762,3.227142857142857
3601553,3.6666666666666665,3,0.002380952380952381,2.570238095238095
3601603,3.888888888888889,18,0.02023809523809524,2.752579365079365
3601605,3.5,4,0.0035714285714285718,2.455357142857143
3601628,4.0,2,0.0011904761904761906,2.8017857142857143
3601643,5.0,1,0.0,3.5
3700006,3.6666666666666665,3,0.002380952380952381,2.570238095238095
3700039,4.0,2,0.0011904761904761906,2.8017857142857143
3700094,3.0,2,0.0011904761904761906,2.101785714285714
3700127,3.0,2,0.0011904761904761906,2.101785714285714
3700130,5.0,2,0.0011904761904761906,3.5017857142857145
3700137,3.0,1,0.0,2.0999999999999996
